metric,contrast,eligible_pairs,positives_in_eligible_pairs,unweighted_mean_pair_difference,positive_weighted_mean_pair_difference,median_pair_difference,pair_win_fraction,spearman_difference_vs_positive_count,spearman_p,bootstrap_ci_low,bootstrap_ci_high,bootstrap_two_sided_p
auroc,prn_counterdirection_minus_quietness,43,238,0.1351331650651083,0.11477555795045291,0.12666666666666665,0.9069767441860465,-0.32104839247733924,0.03580413726970417,0.10489075324390679,0.1667060186390217,0.0001
auroc,prn_active_balance_minus_quietness,43,238,0.1298523064655244,0.11098888040064511,0.12844444444444442,0.9069767441860465,-0.2937695436841803,0.05587136712671874,0.09937174212652261,0.1617389909964705,0.0001
auprc,prn_counterdirection_minus_quietness,43,238,0.1157274618547096,0.09745279012995438,0.07596649727084509,0.9069767441860465,-0.22269380429489447,0.15118280754056557,0.08100210498564701,0.15302679097244085,0.0001
auprc,prn_active_balance_minus_quietness,43,238,0.11010099879810535,0.0947897165374858,0.07450247550620638,0.8604651162790697,-0.14383103438175562,0.3574850772794096,0.0733300311357578,0.14980918389007836,0.0001
