specification,method,auroc,auprc,n,positives,prevalence,auprc_over_prevalence
all_PRN_covered_unmatched,quietness,0.19663403820572578,0.00026837274458665493,530338,251,0.0004732830760760119,0.5670448789585554
all_PRN_covered_unmatched,prn_counterdirection,0.5904592320660706,0.0006616444683973282,530338,251,0.0004732830760760119,1.3979888608800886
all_PRN_covered_unmatched,prn_active_balance,0.5887070503205454,0.0006586498530330939,530338,251,0.0004732830760760119,1.3916615368839242
optimal_individual_pair_matched_1_to_10,quietness,0.49563657719718734,0.09128056005806362,2761,251,0.09090909090909091,1.0040861606386997
optimal_individual_pair_matched_1_to_10,prn_counterdirection,0.5196655608641133,0.1072099657093195,2761,251,0.09090909090909091,1.1793096228025144
optimal_individual_pair_matched_1_to_10,prn_active_balance,0.5202568213202965,0.10662903221986153,2761,251,0.09090909090909091,1.1729193544184768
greedy_ascending,quietness,0.49627624958333993,0.09133970186693129,2761,251,0.09090909090909091,1.004736720536244
greedy_ascending,prn_counterdirection,0.5217591784257393,0.10794706252210183,2761,251,0.09090909090909091,1.1874176877431202
greedy_ascending,prn_active_balance,0.52241392993762,0.10744444143603313,2761,251,0.09090909090909091,1.1818888557963643
greedy_descending,quietness,0.4949540483484389,0.09117352674565171,2761,251,0.09090909090909091,1.0029087942021688
greedy_descending,prn_counterdirection,0.5198433358200664,0.10725160410699297,2761,251,0.09090909090909091,1.1797676451769226
greedy_descending,prn_active_balance,0.5205330074125808,0.10669849977801629,2761,251,0.09090909090909091,1.1736834975581791
