quiet_threshold,single_threshold,expression_filter,endpoint,method,auroc,auprc,n,positives,prevalence,auprc_over_prevalence
0.15,0.2,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5126953125,0.12542309497246198,528,48,0.09090909090909091,1.3796540446970817
0.15,0.2,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5139756944444445,0.11897051946460849,528,48,0.09090909090909091,1.3086757141106933
0.2,0.05,all,all_PRN_covered,quietness,0.20870401249837556,0.002799198866736189,589741,2882,0.004886891025043197,0.5727974805232016
0.2,0.05,all,all_PRN_covered,prn_counterdirection,0.5419753549844137,0.0058191032981438654,589741,2882,0.004886891025043197,1.1907577370404794
0.2,0.05,all,all_PRN_covered,prn_active_balance,0.53899102516765,0.005706661972789628,589741,2882,0.004886891025043197,1.16774897241323
0.2,0.05,all,optimal_pair_matched_1_to_10,quietness,0.47692365713916957,0.08729847313614128,31702,2882,0.09090909090909091,0.9602832044975541
0.2,0.05,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5034079110283215,0.09640225968877128,31702,2882,0.09090909090909091,1.060424856576484
0.2,0.05,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5024625857400091,0.09596404434582771,31702,2882,0.09090909090909091,1.0556044878041049
0.2,0.1,all,all_PRN_covered,quietness,0.18379371470141428,0.0005317629295587302,594362,566,0.0009522816061592093,0.5584093256861944
0.2,0.1,all,all_PRN_covered,prn_counterdirection,0.5831932601235765,0.001289973800979035,594362,566,0.0009522816061592093,1.3546137955786242
0.2,0.1,all,all_PRN_covered,prn_active_balance,0.5800625597655018,0.0012637012421965414,594362,566,0.0009522816061592093,1.3270247309442063
0.2,0.1,all,optimal_pair_matched_1_to_10,quietness,0.49531708474322317,0.09049164126753724,6226,566,0.09090909090909091,0.9954080539429097
0.2,0.1,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5209648016581553,0.10203500450543873,6226,566,0.09090909090909091,1.122385049559826
0.2,0.1,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5214914033138134,0.10250134083945028,6226,566,0.09090909090909091,1.127514749233953
0.2,0.15,all,all_PRN_covered,quietness,0.17649679593584555,0.00017302489531747728,594890,185,0.00031098186219301045,0.5563825944616977
0.2,0.15,all,all_PRN_covered,prn_counterdirection,0.6004028479257374,0.0005464931790185541,594890,185,0.00031098186219301045,1.7573152825207983
0.2,0.15,all,all_PRN_covered,prn_active_balance,0.5970989841204486,0.0005175265569544261,594890,185,0.00031098186219301045,1.6641695863060462
0.2,0.15,all,optimal_pair_matched_1_to_10,quietness,0.4955120525931337,0.09102362964599378,2035,185,0.09090909090909091,1.0012599261059316
0.2,0.15,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5243637691745799,0.11498790806040068,2035,185,0.09090909090909091,1.2648669886644075
0.2,0.15,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5250065741417093,0.1131498717729058,2035,185,0.09090909090909091,1.2446485895019637
0.2,0.2,all,all_PRN_covered,quietness,0.17651096014946005,6.139274002045763e-05,594986,65,0.00010924626797941464,0.5619664740586462
