metric,contrast,pairs,positives,unweighted_mean,positive_weighted_mean,median,win_fraction,size_effect_spearman,size_effect_p,ci_low,ci_high,empirical_two_sided_p
auroc,prn_counterdirection_minus_quietness,42,241,0.026508995255295247,0.03726289462803985,0.040364583333333315,0.5952380952380952,0.15692115769195172,0.32098262605673195,-0.01533963800601323,0.06743235258959716,0.2048
auroc,prn_active_balance_minus_quietness,42,241,0.022773306788955488,0.03499828510201953,0.03523662551440329,0.5952380952380952,0.20239881686679226,0.19863106436613237,-0.016129878795526822,0.06286929115920453,0.2706
auprc,prn_counterdirection_minus_quietness,42,241,0.021069253344391987,0.028786459566063422,0.01987648221343874,0.5714285714285714,0.20501369260057253,0.19276978521972996,-0.027725838796420457,0.06961816514592756,0.3952
auprc,prn_active_balance_minus_quietness,42,241,0.02293480305960802,0.02926598106392712,0.011170762847272059,0.5238095238095238,0.13780167166603335,0.3841539216330939,-0.027016399780794283,0.07233915167636473,0.3634
