"comparison","targets","raw_degree_spearman","calibrated_degree_spearman","finite_z","p_at_minimum"
"AZD_vs_Control",4321,0.816258143978806,-0.0297257355288874,2060,10
"shATM_vs_Control",4321,0.806665405120158,0.0219183408331198,2060,7
