matrix,sampled_cells,zero_fraction,minimum_nonzero,median_nonzero,p99_nonzero,maximum,integer_like_fraction
X,1000,0.8297156903985697,0.19120913743972778,0.6787401437759399,3.976926841735837,8.22830867767334,1.5439403890791538e-06
counts,1000,0.8297156903985697,1.0,1.0,78.0,2941.0,1.0
