metric,contrast,pairs,positives,unweighted_mean,positive_weighted_mean,median,win_fraction,size_effect_spearman,size_effect_p,ci_low,ci_high,empirical_two_sided_p
auroc,prn_counterdirection_minus_quietness,43,238,0.0678840447937408,0.052510979139130394,0.05333333333333329,0.627906976744186,-0.07759705600875634,0.6208889862145075,0.03470236914317318,0.10387169770486955,0.0001
auroc,prn_active_balance_minus_quietness,43,238,0.060669032753939124,0.04939960832817975,0.06018518518518523,0.6046511627906976,-0.08148613853488994,0.6034399176167349,0.02471123983566882,0.0986344815310833,0.001
auprc,prn_counterdirection_minus_quietness,43,238,0.07788166878270597,0.06928136820525524,0.06587301587301592,0.6744186046511628,-0.06680302900348772,0.6703814726149775,0.033517387261602624,0.12533374606941663,0.0004
auprc,prn_active_balance_minus_quietness,43,238,0.07072930894986704,0.06607904837470933,0.07070824706694273,0.6976744186046512,-0.07306066873850327,0.6415043263858407,0.023188463993609472,0.11976099393123184,0.0024
