metric,contrast,pairs,positives,unweighted_mean,positive_weighted_mean,median,win_fraction,size_effect_spearman,size_effect_p,ci_low,ci_high,empirical_two_sided_p
auroc,prn_counterdirection_minus_quietness,109,2415,0.042707616415838236,0.035861336657618544,0.04166666666666663,0.7064220183486238,-0.05032821590080741,0.603263068109948,0.019450894139321797,0.06724791659453189,0.0002
auroc,prn_active_balance_minus_quietness,109,2415,0.04499699937788847,0.034412757540917216,0.04212320428536648,0.7155963302752294,-0.0905875405920309,0.3488686461135052,0.02173309616798597,0.06880151050251684,0.0001
auprc,prn_counterdirection_minus_quietness,109,2415,0.023639399439059416,0.019722891016807843,0.015514927053657646,0.6238532110091743,0.014230975942378753,0.8832344196975024,-0.004794067103928403,0.05197618603294863,0.0976
auprc,prn_active_balance_minus_quietness,109,2415,0.02964331119510491,0.02008815326283494,0.024650119617224908,0.6788990825688074,-0.07570211036840867,0.4340001351728482,0.002130298724398817,0.05793019625840237,0.0346
