metric,contrast,pairs,positives,unweighted_mean,positive_weighted_mean,median,win_fraction,size_effect_spearman,size_effect_p,ci_low,ci_high,empirical_two_sided_p
auroc,prn_counterdirection_minus_quietness,39,227,0.046266357979593394,0.03961036108613202,0.033333333333333326,0.717948717948718,-0.028846233228342885,0.8616142116598813,0.002078236505808641,0.09492673781469588,0.0426
auroc,prn_active_balance_minus_quietness,39,227,0.03580471552373817,0.035862315673352074,0.04115226337448552,0.6666666666666666,-0.04951164410202478,0.7646930321569402,0.0021154698235448383,0.06910802631208526,0.0348
auprc,prn_counterdirection_minus_quietness,39,227,0.05486362105116145,0.05004069499529275,0.04365079365079366,0.6153846153846154,-0.12427801225183747,0.4509728328718696,0.0034759955420687423,0.1066200677332482,0.0368
auprc,prn_active_balance_minus_quietness,39,227,0.05195674905551422,0.050299364572593375,0.03159049082962129,0.6666666666666666,-0.05943744123696118,0.7192749263463415,0.006736486699039565,0.09401824215683362,0.0248
