metric,contrast,pairs,positives,unweighted_mean,positive_weighted_mean,median,win_fraction,size_effect_spearman,size_effect_p,ci_low,ci_high,empirical_two_sided_p
auroc,prn_counterdirection_minus_quietness,106,2329,0.028418668411899155,0.02457730232902809,0.02937595783382746,0.6792452830188679,-0.0051229705792998435,0.9584337448452619,0.004878308567138537,0.054136903598785924,0.0184
auroc,prn_active_balance_minus_quietness,106,2329,0.027865311250685327,0.024132726166504737,0.023341049382716056,0.6415094339622641,0.014106136939139808,0.8858821262235602,0.0033891553396401806,0.05415659565014504,0.0254
auprc,prn_counterdirection_minus_quietness,106,2329,0.0209382576863069,0.017200253098427928,0.01770960298950583,0.6415094339622641,0.0051935365274945414,0.9578617151126956,-0.0005797871358317721,0.04367604525708634,0.055
auprc,prn_active_balance_minus_quietness,106,2329,0.021775864582175692,0.016292142090872676,0.018652698732869483,0.6132075471698113,0.017481544796916094,0.8588305324220108,-0.001765772694197713,0.047252018467858405,0.0672
