metric,contrast,eligible_pairs,positives_in_eligible_pairs,unweighted_mean_pair_difference,positive_weighted_mean_pair_difference,median_pair_difference,pair_win_fraction,spearman_difference_vs_positive_count,bootstrap_ci_low,bootstrap_ci_high,bootstrap_two_sided_p
auroc,prn_counterdirection_minus_quietness,43,238,0.06404250815193033,0.04712239441231038,0.05117187499999998,0.7674418604651163,-0.2990329391252219,0.040210100829700876,0.08854279352936091,0.0001
auroc,prn_active_balance_minus_quietness,43,238,0.06651053498434702,0.04806121691100682,0.07283950617283946,0.7441860465116279,-0.344321898063691,0.04058459643918758,0.09327946461882182,0.0001
auprc,prn_counterdirection_minus_quietness,43,238,0.07554737514761643,0.05722376348042749,0.04525052024707624,0.7674418604651163,-0.19093493470741552,0.04555976624580108,0.1104114231907178,0.0001
auprc,prn_active_balance_minus_quietness,43,238,0.0816910526212507,0.06249367544101867,0.050108225108225116,0.7674418604651163,-0.17345228774700042,0.05000460655301997,0.11741261456717164,0.0001
