feature,positive_mean,negative_mean,positive_median,negative_median,standardized_mean_difference
abs_discovery_response,0.052630088374619764,0.049938076011933,0.042712464928627,0.04156685620546345,0.06878108066871716
log_degree,1.747707424005486,1.4902216691158943,1.6094379124341003,1.3862943611198906,0.3147014521125204
log_mean_counts,1.6485418197144461,1.5521645615365758,1.406005513308272,1.3455078580522433,0.09993121948470846
logit_detection,2.3965685575740667,2.5339152648632175,1.7125155448381923,1.935338308299344,-0.05659909462743257
mean_counts,9.31601788406353,8.314351422384203,3.0796267986297607,2.8401362895965576,0.05030123243173341
detection_fraction,0.7979287658911666,0.8067362762150732,0.8471622773565436,0.8738391134640405,-0.044218344201086404
